From Date,To Date,PM2.5,PM10,WS,WD,Temp,RH
01-07-2017 00:00,02-07-2017 00:00,22.91,64.39,2.67,124.86,32.57,66.4
02-07-2017 00:00,03-07-2017 00:00,23.66,65.8,2.59,119.97,32.39,66.35
03-07-2017 00:00,04-07-2017 00:00,28.11,82.23,2.43,112.52,32.3,66.6
04-07-2017 00:00,05-07-2017 00:00,26.64,87.08,2.77,102.78,32.42,63.92
05-07-2017 00:00,06-07-2017 00:00,23.6,64.3,2.4,107.27,32.69,67.46
06-07-2017 00:00,07-07-2017 00:00,31.13,73.31,2.06,121.02,32.26,73.53
07-07-2017 00:00,08-07-2017 00:00,34.99,83.81,2.25,109.21,31.89,73.26
08-07-2017 00:00,09-07-2017 00:00,49.14,105.34,1.88,96.11,32.03,70.94
09-07-2017 00:00,10-07-2017 00:00,43.15,94.18,1.87,97.76,32.63,72.24
10-07-2017 00:00,11-07-2017 00:00,40.33,86.17,1.77,97.63,32.36,71.77
11-07-2017 00:00,12-07-2017 00:00,42.36,102.95,2.08,88.33,32.25,72.53
12-07-2017 00:00,13-07-2017 00:00,28.49,79.69,2.36,110.55,32.16,70.4
13-07-2017 00:00,14-07-2017 00:00,29.72,81.1,2.19,105.67,31.81,71.6
14-07-2017 00:00,15-07-2017 00:00,29.02,61.49,2.12,117.53,32.48,80.56
15-07-2017 00:00,16-07-2017 00:00,32.45,86.25,2.46,120.06,31.98,74.56
16-07-2017 00:00,17-07-2017 00:00,28.8,63.55,2.31,97.37,31.64,77.2
17-07-2017 00:00,18-07-2017 00:00,32.77,59.97,2.71,84.55,31.87,85.57
18-07-2017 00:00,19-07-2017 00:00,24.35,18.6,2.99,102.4,31.55,88.12
19-07-2017 00:00,20-07-2017 00:00,18.66,9.68,2.91,108.84,31.84,81.83
20-07-2017 00:00,21-07-2017 00:00,14.77,26.69,2.51,140.4,32.06,77.66
21-07-2017 00:00,22-07-2017 00:00,18.98,48.31,2.7,138.06,31.69,73.56
22-07-2017 00:00,23-07-2017 00:00,22.39,74.7,2.97,130.11,31.59,69.51
23-07-2017 00:00,24-07-2017 00:00,26.3,92.49,2.66,128.09,31.7,68.32
24-07-2017 00:00,25-07-2017 00:00,24.05,76.87,2.68,124.96,31.86,70.73
25-07-2017 00:00,26-07-2017 00:00,26.59,89.43,2.9,109.59,31.71,66.86
26-07-2017 00:00,27-07-2017 00:00,32.57,109.56,2.66,107.19,30.88,67
27-07-2017 00:00,28-07-2017 00:00,25.71,81.07,2.4,116.84,30.91,68.95
28-07-2017 00:00,29-07-2017 00:00,29.73,73.95,2.12,110.59,30.69,70.35
29-07-2017 00:00,30-07-2017 00:00,41.12,108.46,1.68,95.2,30.71,68.32
30-07-2017 00:00,31-07-2017 00:00,38.61,107.3,1.9,112.47,30.96,68.36
31-07-2017 00:00,01-08-2017 00:00,35.38,100.78,1.82,94.67,30.98,65.8
01-08-2017 00:00,02-08-2017 00:00,36.82,99.09,1.65,73.44,31.02,62.74
02-08-2017 00:00,03-08-2017 00:00,41.49,122.84,2.14,69.04,31.19,65.06
03-08-2017 00:00,04-08-2017 00:00,25.6,76.95,2.2,98.93,31.06,69.45
04-08-2017 00:00,05-08-2017 00:00,27.11,80.36,1.81,92.49,31.1,72.79
05-08-2017 00:00,06-08-2017 00:00,42.31,118.81,2.16,75.73,30.93,68.7
06-08-2017 00:00,07-08-2017 00:00,40.14,124.76,1.6,135.11,30.97,68.41
07-08-2017 00:00,08-08-2017 00:00,42.86,119.14,1.22,123.15,30.69,71.82
08-08-2017 00:00,09-08-2017 00:00,38.21,96.64,1.44,143.19,30.67,71.94
09-08-2017 00:00,10-08-2017 00:00,44.56,78.76,1.13,140.74,30.75,84.87
10-08-2017 00:00,11-08-2017 00:00,31.26,67.2,1.55,110.94,31.04,78.76
11-08-2017 00:00,12-08-2017 00:00,40.48,108.52,1.35,124.08,30.85,75.91
12-08-2017 00:00,13-08-2017 00:00,30.83,62.52,0.99,158.48,30.75,78.59
13-08-2017 00:00,14-08-2017 00:00,38.37,78.05,1.46,136.16,30.82,78.27
14-08-2017 00:00,15-08-2017 00:00,36.95,68.52,1.46,75.2,30.73,77.49
15-08-2017 00:00,16-08-2017 00:00,None,None,None,None,None,None
16-08-2017 00:00,17-08-2017 00:00,37.65,119.26,1.69,96.11,30.75,74.59
17-08-2017 00:00,18-08-2017 00:00,41.89,123.84,1.68,89.63,30.97,75.48
18-08-2017 00:00,19-08-2017 00:00,59.99,140.71,2,70.83,31.11,80.03
19-08-2017 00:00,20-08-2017 00:00,31.53,63.63,2.45,90.35,30.76,86.04
20-08-2017 00:00,21-08-2017 00:00,17.5,33.21,2.68,118.24,30.79,82.87
21-08-2017 00:00,22-08-2017 00:00,27.51,68.34,1.8,136.36,30.87,74.37
22-08-2017 00:00,23-08-2017 00:00,29.89,75.99,1.46,127.35,30.86,73.05
23-08-2017 00:00,24-08-2017 00:00,47.64,119.78,1.69,70.09,30.92,72.97
24-08-2017 00:00,25-08-2017 00:00,52.89,109,1.71,100.89,30.85,78.27
25-08-2017 00:00,26-08-2017 00:00,37.29,77.75,2,90.52,30.79,82.85
26-08-2017 00:00,27-08-2017 00:00,39.01,76.3,2.41,81.53,30.84,84.31
27-08-2017 00:00,28-08-2017 00:00,31.95,67.13,1.97,83.81,30.88,83.74
28-08-2017 00:00,29-08-2017 00:00,20.98,37.48,2,113.88,30.69,85.47
29-08-2017 00:00,30-08-2017 00:00,12.53,19.6,2.12,144.17,30.64,83.54
30-08-2017 00:00,31-08-2017 00:00,27.56,77.71,1.8,154.56,31.03,75.56
31-08-2017 00:00,01-09-2017 00:00,42.34,110.2,1.66,99.18,30.85,71.76
01-09-2017 00:00,02-09-2017 00:00,34.65,102.65,1.42,113.38,30.96,68.96
02-09-2017 00:00,03-09-2017 00:00,45.01,125.54,1.08,107.78,31.12,68.64
03-09-2017 00:00,04-09-2017 00:00,30.22,90.33,1.33,120.77,31.14,67.37
04-09-2017 00:00,05-09-2017 00:00,28.16,72.56,1.36,119.78,31.1,74.41
05-09-2017 00:00,06-09-2017 00:00,41.28,97.19,1.37,103.08,30.99,72.8
06-09-2017 00:00,07-09-2017 00:00,54.17,128.98,1.14,97.08,30.85,81.89
07-09-2017 00:00,08-09-2017 00:00,64.13,138.78,0.97,201.3,30.76,77.05
08-09-2017 00:00,09-09-2017 00:00,37,73.77,1.1,210.42,30.98,73.42
09-09-2017 00:00,10-09-2017 00:00,44.15,88.84,0.87,231.32,31.03,70.55
10-09-2017 00:00,11-09-2017 00:00,22.94,58.18,0.86,229.84,30.94,69.47
11-09-2017 00:00,12-09-2017 00:00,None,None,None,None,None,None
12-09-2017 00:00,13-09-2017 00:00,13.58,53.73,0.88,231.1,31.74,64.54
13-09-2017 00:00,14-09-2017 00:00,25.17,62.26,1.1,197.26,31.12,73.4
14-09-2017 00:00,15-09-2017 00:00,28.25,59.51,1.1,163.41,31.23,76.56
15-09-2017 00:00,16-09-2017 00:00,25.31,60.02,1.47,117.06,30.98,74.77
16-09-2017 00:00,17-09-2017 00:00,38.76,92.62,1.25,132.27,30.96,75.68
17-09-2017 00:00,18-09-2017 00:00,31.63,66.34,1.48,110.33,31.05,80.69
18-09-2017 00:00,19-09-2017 00:00,13.61,44.06,2.38,121.34,30.94,78.2
19-09-2017 00:00,20-09-2017 00:00,14.92,44.72,2.41,126.04,31.05,75.94
20-09-2017 00:00,21-09-2017 00:00,19.08,46.01,2.2,126.98,31.19,78.14
21-09-2017 00:00,22-09-2017 00:00,27.06,54.82,2.2,129.82,31.04,80.46
22-09-2017 00:00,23-09-2017 00:00,39.59,91.38,1.74,83.38,31.26,77.7
23-09-2017 00:00,24-09-2017 00:00,None,None,None,None,None,None
24-09-2017 00:00,25-09-2017 00:00,None,None,None,None,None,None
25-09-2017 00:00,26-09-2017 00:00,0.6,1.77,0.19,26.83,28.33,1.32
26-09-2017 00:00,27-09-2017 00:00,0.77,1.45,0.17,11.04,10.51,0.84
27-09-2017 00:00,28-09-2017 00:00,17.19,41.78,0.09,0.73,6.88,6.11
28-09-2017 00:00,29-09-2017 00:00,20.31,9.33,0,0,14.24,0
29-09-2017 00:00,30-09-2017 00:00,None,None,None,None,None,None
30-09-2017 00:00,01-10-2017 00:00,57.46,79.98,0.04,23.5,30.32,6.45
01-10-2017 00:00,02-10-2017 00:00,22.34,34.79,0.2,57.66,9.61,23.64
02-10-2017 00:00,03-10-2017 00:00,0,0,0.18,27.69,0,9.69
03-10-2017 00:00,04-10-2017 00:00,0.25,0.38,0.14,30.85,0.63,11.85
04-10-2017 00:00,05-10-2017 00:00,0,0,0.05,33.92,0,5.34
05-10-2017 00:00,06-10-2017 00:00,0.35,0.58,0.01,21.36,0.32,0.83
06-10-2017 00:00,07-10-2017 00:00,0,0,0,0,0,0
07-10-2017 00:00,08-10-2017 00:00,0,0,0,0,0,0
08-10-2017 00:00,09-10-2017 00:00,None,None,None,None,None,None
09-10-2017 00:00,10-10-2017 00:00,0,0,0,0,0,0
10-10-2017 00:00,11-10-2017 00:00,0.28,0.38,0.03,2.18,0.52,1.15
11-10-2017 00:00,12-10-2017 00:00,0.73,2.55,0.06,5.99,1.61,3.21
12-10-2017 00:00,13-10-2017 00:00,0,0,0,0,0,0
13-10-2017 00:00,14-10-2017 00:00,0.18,0.29,0.03,5.46,0.55,1.54
14-10-2017 00:00,15-10-2017 00:00,0.18,0.32,0.02,3.37,0.33,0.92
15-10-2017 00:00,16-10-2017 00:00,3.59,5.46,0.01,2.03,0.77,1.85
16-10-2017 00:00,17-10-2017 00:00,4.51,13.87,0.02,8.81,1.14,2.36
17-10-2017 00:00,18-10-2017 00:00,0,0,0,0,0,0
18-10-2017 00:00,19-10-2017 00:00,0,0,0,0,0,0
19-10-2017 00:00,20-10-2017 00:00,0,0,0,0,0,0
20-10-2017 00:00,21-10-2017 00:00,61.54,123.87,0.67,76.82,21.15,38.96
21-10-2017 00:00,22-10-2017 00:00,76.24,161.54,1.02,131.77,30.58,61.66
22-10-2017 00:00,23-10-2017 00:00,72.97,131.08,1.26,130.62,30.5,75.46
23-10-2017 00:00,24-10-2017 00:00,64.02,82.9,1.05,232.02,30.68,66.54
24-10-2017 00:00,25-10-2017 00:00,69.3,142.51,0.86,287.34,30.53,66.03
25-10-2017 00:00,26-10-2017 00:00,66.57,154.03,0.74,280.7,30.59,62.07
26-10-2017 00:00,27-10-2017 00:00,65.54,144.44,0.62,244.76,30.65,63.5
27-10-2017 00:00,28-10-2017 00:00,62.48,141.18,0.62,181.88,30.79,60.9
28-10-2017 00:00,29-10-2017 00:00,70.15,153.84,0.61,104.88,30.63,61.03
29-10-2017 00:00,30-10-2017 00:00,64.19,138.41,0.67,103.9,30.66,59.72
30-10-2017 00:00,31-10-2017 00:00,61.06,133.76,0.93,75.82,30.77,55.94
31-10-2017 00:00,01-11-2017 00:00,61.93,138.68,0.76,84.78,30.7,49
01-11-2017 00:00,02-11-2017 00:00,65.74,148.84,0.71,91.56,30.45,51.2
02-11-2017 00:00,03-11-2017 00:00,70.27,132.5,0.91,62.57,30.2,55.54
03-11-2017 00:00,04-11-2017 00:00,68.83,111.86,0.95,51.13,30.28,57.78
04-11-2017 00:00,05-11-2017 00:00,42.38,82.51,0.94,75.19,30.4,60.28
05-11-2017 00:00,06-11-2017 00:00,27.91,57.6,0.95,78.98,30.35,61.4
06-11-2017 00:00,07-11-2017 00:00,39,67,1.2,59,30,65
07-11-2017 00:00,08-11-2017 00:00,None,None,None,None,None,None
08-11-2017 00:00,09-11-2017 00:00,None,None,None,None,None,None
09-11-2017 00:00,10-11-2017 00:00,38.47,79.82,0.85,62.29,30.56,50.66
10-11-2017 00:00,11-11-2017 00:00,40.11,69.72,0.9,62.43,30.66,54.68
11-11-2017 00:00,12-11-2017 00:00,59.32,97.6,0.94,58.9,31.04,51.44
12-11-2017 00:00,13-11-2017 00:00,55.11,101.47,0.77,125.57,30.61,56.45
13-11-2017 00:00,14-11-2017 00:00,54.65,101.29,0.78,138.93,30.42,54.03
14-11-2017 00:00,15-11-2017 00:00,52.44,96.99,0.89,68.8,30.5,62.71
15-11-2017 00:00,16-11-2017 00:00,47.98,93.12,1.16,167.26,30.67,62.66
16-11-2017 00:00,17-11-2017 00:00,37,79.38,1.08,175.35,30.77,66.84
17-11-2017 00:00,18-11-2017 00:00,36.14,79.83,0.86,119.87,30.63,68.06
18-11-2017 00:00,19-11-2017 00:00,26.05,71.01,0.71,89.03,30.72,65.19
19-11-2017 00:00,20-11-2017 00:00,34.37,76.52,0.69,94.18,30.45,65.43
20-11-2017 00:00,21-11-2017 00:00,42.5,95.29,0.62,101.02,30.49,62.72
21-11-2017 00:00,22-11-2017 00:00,45.41,99.46,0.62,110.47,30.45,66.11
22-11-2017 00:00,23-11-2017 00:00,48.74,102.99,0.62,134.7,30.59,61.3
23-11-2017 00:00,24-11-2017 00:00,56,125.83,0.64,216.67,30.51,60.88
24-11-2017 00:00,25-11-2017 00:00,69.71,126.41,0.69,138.04,30.34,63.08
25-11-2017 00:00,26-11-2017 00:00,66.33,129.6,0.87,79.94,30.4,58.55
26-11-2017 00:00,27-11-2017 00:00,68.26,133.06,0.56,92.17,30.54,56.18
27-11-2017 00:00,28-11-2017 00:00,67.06,133.33,0.55,107.59,30.68,52.04
28-11-2017 00:00,29-11-2017 00:00,58.7,115.46,0.54,89.61,30.93,47.73
29-11-2017 00:00,30-11-2017 00:00,65.36,118.85,0.62,106.84,30.61,58.52
30-11-2017 00:00,01-12-2017 00:00,62.07,115.89,0.55,101.87,30.6,57.4
01-12-2017 00:00,02-12-2017 00:00,66.07,113.35,0.62,96.32,30.63,65.35
02-12-2017 00:00,03-12-2017 00:00,67.62,120.21,0.66,97.13,30.7,64.44
03-12-2017 00:00,04-12-2017 00:00,67.56,114.51,0.6,107,30.6,58.99
04-12-2017 00:00,05-12-2017 00:00,69.69,119.43,0.58,111.97,30.42,63.26
05-12-2017 00:00,06-12-2017 00:00,57.71,95.46,0.73,117.26,30.61,68.49
06-12-2017 00:00,07-12-2017 00:00,53.36,92.44,0.68,123.45,30.65,68.34
07-12-2017 00:00,08-12-2017 00:00,63.8,117.8,0.61,71.12,30.65,60.76
08-12-2017 00:00,09-12-2017 00:00,71.22,131.26,0.8,61.6,30.6,51.13
09-12-2017 00:00,10-12-2017 00:00,61.59,109.27,0.81,52,30.45,53.97
10-12-2017 00:00,11-12-2017 00:00,34.8,73.21,0.77,86.53,30.77,48.32
11-12-2017 00:00,12-12-2017 00:00,48.05,105.82,0.5,139.76,30.93,42.46
12-12-2017 00:00,13-12-2017 00:00,66.2,133.57,0.44,108.62,30.75,47.46
13-12-2017 00:00,14-12-2017 00:00,68.74,124.73,0.49,118.15,30.41,57.83
14-12-2017 00:00,15-12-2017 00:00,64.99,113.24,0.59,115,30.34,59.84
15-12-2017 00:00,16-12-2017 00:00,69.69,122.05,0.58,115.83,30.31,64.03
16-12-2017 00:00,17-12-2017 00:00,71.2,139.9,0.49,112.64,30.55,58.67
17-12-2017 00:00,18-12-2017 00:00,67.46,128.86,0.57,88.65,30.29,55.95
18-12-2017 00:00,19-12-2017 00:00,67.93,116.03,0.78,57.8,30.49,54.45
19-12-2017 00:00,20-12-2017 00:00,53.39,106.48,0.66,73.04,30.78,45.16
20-12-2017 00:00,21-12-2017 00:00,65.12,128.21,0.47,105.8,31.21,45.64
21-12-2017 00:00,22-12-2017 00:00,70.55,137.07,0.47,99.19,30.93,51.29
22-12-2017 00:00,23-12-2017 00:00,69.88,139.89,0.51,83.12,30.88,51.83
23-12-2017 00:00,24-12-2017 00:00,78.04,157.83,0.54,90.55,30.54,53.45
24-12-2017 00:00,25-12-2017 00:00,75.81,155.76,0.46,117.22,30.39,59.12
25-12-2017 00:00,26-12-2017 00:00,68.05,143.25,0.43,105.46,30.52,57.78
26-12-2017 00:00,27-12-2017 00:00,67.33,120.58,0.55,73.18,30.66,51.78
27-12-2017 00:00,28-12-2017 00:00,58.89,104.95,0.48,79.15,30.87,44.32
28-12-2017 00:00,29-12-2017 00:00,53.25,115.67,0.41,94.86,30.95,44.16
29-12-2017 00:00,30-12-2017 00:00,70.04,140.83,0.42,112.73,30.63,51.46
30-12-2017 00:00,31-12-2017 00:00,67.56,136.62,0.41,104.56,30.57,50.44
31-12-2017 00:00,01-01-2018 00:00,58.34,114.51,0.39,142.53,30.49,52.08
01-01-2018 00:00,02-01-2018 00:00,56.32,115.46,0.42,145.33,30.48,53.84
02-01-2018 00:00,03-01-2018 00:00,64.01,119.89,0.47,103.2,30.47,56.27
03-01-2018 00:00,04-01-2018 00:00,73.7,140.86,0.45,128.19,30.28,58.27
04-01-2018 00:00,05-01-2018 00:00,76.6,155.77,0.4,92.12,30.52,50.76
05-01-2018 00:00,06-01-2018 00:00,74.92,159.18,0.38,119.97,30.2,48.95
06-01-2018 00:00,07-01-2018 00:00,71.8,137.22,1.1,133.58,31.08,47.52
07-01-2018 00:00,08-01-2018 00:00,70.45,137.1,1.89,122.79,30.59,49.66
08-01-2018 00:00,09-01-2018 00:00,73.7,136.38,1.71,113.02,30.41,51.95
09-01-2018 00:00,10-01-2018 00:00,77.13,156.33,1.48,103.96,30.22,59.48
10-01-2018 00:00,11-01-2018 00:00,72.62,151.79,1.6,95.3,30.39,54.43
11-01-2018 00:00,12-01-2018 00:00,70.54,140.29,1.23,91.55,30.67,50.27
12-01-2018 00:00,13-01-2018 00:00,71.67,148.34,0.99,86.8,30.68,46.35
13-01-2018 00:00,14-01-2018 00:00,64.64,137.9,1.28,79.29,30.78,43.95
14-01-2018 00:00,15-01-2018 00:00,66.05,114.01,1.01,94.47,30.81,46.31
15-01-2018 00:00,16-01-2018 00:00,71.74,112.01,1.29,135.16,30.32,55.13
16-01-2018 00:00,17-01-2018 00:00,60.09,115.73,1.16,116.72,30.45,51.94
